"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Afghanistan","AFG","Afghanistan",-0.274080242385575,-0.21841390538968,-0.264225163721585,0.95680773787329,-0.0393157142330657,-1.54380107817334,-0.231604906170105,0.727714191657315,3.81086235957962,-2.74833322542749,0,-0.0917006459697078,0
"Angola","AGO","Angola",-0.266290133180925,0.823358413062043,-0.157240902175234,1.82112326191077,-0.0792088395682951,-1.76001704496873,-0.186351347860149,1.40626300262851,1.54587767267638,-0.255441296104546,0,0.147592785513531,0
"Albanie","ALB","Albania",-0.280015563684355,-0.316358311397962,-0.277803935379391,-1.589252074638,-0.265126293292661,0.30045783279247,-0.235749802058584,-0.902499326700973,-0.770583938929215,0.254307213344117,0,-1.12875226061527,0
"Emirats arabes unis","ARE","United Arab Emirates",-0.26777396350562,2.63978194267017,-0.154772034601087,0.144029478236696,-0.220741819205419,1.31310381309297,-0.0413476337863046,0.251114350790786,0.636451831345173,0.877734662201925,0,-0.180360906733535,0
"Argentine","ARG","Argentina",0.549445587820215,-0.392042625131634,0.539391231663122,-0.26987157925735,0.00494439180262807,-0.383791930979784,0.0482907997885345,1.81823906643244,-0.204337767203404,0.0344158356561518,0,1.33423345627336,0
"Arménie","ARM","Armenia",-0.280015563684355,-0.222865923844602,-0.269574376798902,-1.00491984919153,-0.264461861148532,0.825740086440636,-0.23580241388466,-1.08982726630123,-0.307291616608097,-0.31502245139307,0,-0.65259620257782,0
"Antigua-et-Barbuda","ATG","Antigua and Barbuda",-0.28446705465844,-0.38313858822179,-0.289325317392075,-0.392524753552803,-0.282819387724692,-0.280853416951248,-0.241519146020723,0.234285370923256,-0.307291616608097,1.16853153688084,0,0.199212729500141,0
"Australie","AUS","Australia",0.18961673408165,-0.374234551311946,0.219672880811142,0.221158799372744,-0.120661994617631,1.34911527817947,0.516179458518138,0.21637919481831,-0.307291616608097,1.1231565726365,0,2.86976603680426,0
"Autriche","AUT","Austria",-0.235500653943502,0.0887753679999306,-0.226369194251337,-0.779927287064347,-0.226457140821411,1.15680727983658,-0.0315190779785654,-1.08982726630123,-0.822060863631562,1.12858535428046,0,-1.27660086560272,1
"Azerbaïdjan","AZE","Azerbaijan",-0.242919805566977,-0.240673997664289,-0.231718407328655,-0.406280932863457,-0.21911337422828,1.1383315955325,-0.215074228861309,-0.362810683117815,0.207477630415368,-0.610747902714203,0,-0.552847101351256,0
"Burundi","BDI","Burundi",-0.281870351590224,-0.414302717406243,-0.289736795321099,1.71517359669545,-0.209446973307739,-1.33285153019902,-0.240715879386603,-0.0148813875482815,4.45432391835895,-1.61923954335022,1,0.111609069016859,0
