"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Afghanistan","AFG","Afghanistan",-0.891552740233425,-0.520264846772924,-1.13321411285417,0.95680773787329,-0.0393157142330657,-1.54380107817334,-0.684230645308259,0.727714191657315,3.81086235957962,-2.74833322542749,0,-0.0917006459697078,0
"Angola","AGO","Angola",-0.846263089863691,-0.0952273704273765,-0.631862952712287,1.82112326191077,-0.0792088395682951,-1.76001704496873,-0.527018013991413,1.40626300262851,1.54587767267638,-0.255441296104546,0,0.147592785513531,0
"Albanie","ALB","Albania",-0.69608956635627,-0.15283844951554,-0.535435862298685,-1.589252074638,-0.265126293292661,0.30045783279247,-0.468223132928324,-0.902499326700973,-0.770583938929215,0.254307213344117,0,-1.12875226061527,0
"Emirats arabes unis","ARE","United Arab Emirates",-0.673471019913681,3.35260114426446,0.770101200900973,0.144029478236696,-0.220741819205419,1.31310381309297,1.47527266911323,0.251114350790786,0.636451831345173,0.877734662201925,0,-0.180360906733535,0
"Argentine","ARG","Argentina",1.88614584887299,-0.578893048645514,1.41009803803673,-0.26987157925735,0.00494439180262807,-0.383791930979784,-0.0259364698596893,1.81823906643244,-0.204337767203404,0.0344158356561518,0,1.33423345627336,0
"Arménie","ARM","Armenia",-0.704383919923782,0.23022885929137,-0.161793727261679,-1.00491984919153,-0.264461861148532,0.825740086440636,-0.478730039299514,-1.08982726630123,-0.307291616608097,-0.31502245139307,0,-0.65259620257782,0
"Antigua-et-Barbuda","ATG","Antigua and Barbuda",-0.933033284916122,3.45738485104743,2.40132129468749,-0.392524753552803,-0.282819387724692,-0.280853416951248,0.194624732018499,0.234285370923256,-0.307291616608097,1.16853153688084,0,0.199212729500141,0
"Australie","AUS","Australia",1.9063905124388,-0.565233943606945,1.64877072339366,0.221158799372744,-0.120661994617631,1.34911527817947,2.46845123809226,0.21637919481831,-0.307291616608097,1.1231565726365,0,2.86976603680426,0
"Autriche","AUT","Austria",-0.0952882467602948,0.12855689967277,-0.182504100823508,-0.779927287064347,-0.226457140821411,1.15680727983658,1.81267680263582,-1.08982726630123,-0.822060863631562,1.12858535428046,0,-1.27660086560272,1
"Azerbaïdjan","AZE","Azerbaijan",-0.303365187538259,-0.366934740854002,-0.379245410524024,-0.406280932863457,-0.21911337422828,1.1383315955325,-0.424703521656631,-0.362810683117815,0.207477630415368,-0.610747902714203,0,-0.552847101351256,0
"Burundi","BDI","Burundi",-0.898820062085928,-0.585133120883774,-1.21139355744848,1.71517359669545,-0.209446973307739,-1.33285153019902,-0.699219234608738,-0.0148813875482815,4.45432391835895,-1.61923954335022,1,0.111609069016859,0
"Belgique et Luxembourg","BEL","Belgium",1.26454080928101,0.976966542198487,-0.493714664978017,-0.690889683417653,-0.209713915404761,0.864288590196221,1.61782570968355,-1.08982726630123,-0.822060863631562,0.647838967423414,1,-1.47760970471988,1
"Bénin","BEN","Benin",-0.861400163174431,-0.0290986345290151,-0.633135371053514,1.3306140763728,-0.207710607921782,-0.894428977062119,-0.64922965979675,0.362051749929632,-0.25581469190575,-0.314201546504124,1,-0.316402224686394,0
"Burkina Faso","BFA","Burkina Faso",-0.811008963388716,-0.585133120883774,-1.10942423138322,1.45087486018513,-0.153033381266148,-0.972599826293568,-0.674317657728955,-0.44884097879452,0.189460706769547,-1.27979472060348,1,-0.483831750234796,0
"Bangladesh","BGD","Bangladesh",-0.843164323101025,-0.585133120883774,-1.1430238266528,-0.23659516200515,0.762880139892411,-1.46720088793377,-0.627441853551696,1.09122248324902,1.08258535035526,-0.878880031861937,0,0.513440762711382,0
"Bulgarie","BGR","Bulgaria",-0.0524267751844614,0.307291657383532,0.105320127069652,-1.8475670718432,-0.238676776769278,0.629508166104646,-0.268411120280583,-1.08982726630123,-0.822060863631562,0.76188386284598,0,-1.08786869687965,1
"Bahamas","BHS","Bahamas",-0.0648600655705447,3.0147499195125,1.93815395897272,-0.269628045685877,-0.280943143576113,-0.312926164545966,1.02577810616405,2.26656595939555,2.00916999499749,1.01950376442191,0,0.329448728629464,0
"Bosnie-Herzégovine","BIH","Bosnia and Herzegovina",0.262054383303318,-0.398242435041618,-0.237917832281175,-1.83674859341264,-0.262258980805123,0.120891873658368,-0.412249956143064,-0.826889602049898,-0.685647013170343,-0.320806878901792,0,-1.19406040661152,0
"Biélorussie","BLR","Belarus",1.86095204316033,-0.525594264540679,0.450990108014796,-1.38083197289685,-0.222992816765056,0.809941608687907,-0.375073815765235,-1.08982726630123,-0.822060863631562,0.494393133472661,0,-1.07148072768346,0
"Belize","BLZ","Belize",2.09883956998911,-0.585133120883774,0.422524162559508,0.556668005086052,-0.280937592576908,-0.655333718328003,-0.459747800228165,0.576252403494102,-0.435983928363963,0.202073069989362,0,0.707917902826903,0
"Bolivie","BOL","Bolivia (Plurinational State of)",1.48510750470999,-0.575390453471486,1.30005046330308,0.107272389781855,-0.209559116326357,-0.952699880563532,-0.5346676934998,-0.326459853958644,-0.667630089524522,-0.658688249000438,0,1.06532322239165,0
"Brésil","BRA","Brazil",2.84199211029165,-0.583804424137612,1.52709358319844,-0.494675483612096,1.07093393813063,-0.374325926663825,-0.246563249617306,-0.18105653732196,-0.271543981017799,-0.641000917657751,0,0.901437287592112,0
"Barbade","BRB","Barbados",2.2085841299307,-0.19433132007567,1.63545165867641,-1.06979453997774,-0.281600696331633,-0.465973917775523,0.195369915651507,3.21411090614461,-0.0499069930963645,1.27236211376388,0,0.244361451975328,0
"Botswana","BWA","Botswana",-0.884106070121791,-0.463407008978569,-1.05799257737341,0.831409823288913,-0.268658962021307,0.179705538348348,-0.33380481678623,-0.852148775409389,-0.479145373603742,1.33946273178846,0,0.671065651535366,0
"Centrafricaine (la République)","CAF","Central African Republic",-0.849896652923587,-0.514217993970916,-1.07559797222463,0.363384397367389,-0.252991180131531,-2.20563644014973,-0.691639044969404,0.629047620748299,1.75178537148576,-2.18696299545436,1,-0.19687659398431,0
"Canada","CAN","Canada",1.32116840397848,-0.318145446053935,1.17020042366564,0.141668251768859,-0.0421427258246429,1.22649719348025,1.72818209070914,-0.6733073488524,0.0144391627815686,1.23713504899613,1,0.0160569755516425,0
"Suisse","CHE","Switzerland",-0.282403604087564,-0.290823514367227,-0.213717204127793,-0.530218113150661,-0.228412119315937,0.991187246277876,4.07290414612399,-0.811137576080924,-0.683073166935226,1.57160169785921,1,-1.43242890966601,0
"Chili","CHL","Chile",1.35371033617975,-0.179713324467327,0.875979469040218,-0.0936928971160232,-0.161820953126449,0.676712036590396,0.0365468486812341,-0.387044569223929,-0.564676240119829,0.142264223207314,0,1.48799975116293,0
