"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Afghanistan","AFG","Afghanistan",0.000736033301511284,0.00115662375951773,0.001761222542902,2.31307334941778,38041757,44.06497,555.138996255113,750,900,-2.655531,0,5590.381,0
"Angola","AGO","Angola",0.00153965560543516,0.00873518894512193,0.0102748445505571,3.24291402840967,31825299,41.28838,3458.65051207408,1030,460,-0.358525,0,6510.322,0
"Albanie","ALB","Albania",0.00420434371771195,0.00770796348247192,0.0119123072001839,-0.426007367032238,2854191,67.74847,4544.51500532738,77.3,10,0.1111686,0,1603.534,0
"Emirats arabes unis","ARE","United Arab Emirates",0.00460568857807655,0.0702111636569004,0.0340820954777665,1.43867705802644,9770526,80.75261,40438.3385162429,553.3333,283.3333,0.6856085,0,5249.535,0
"Argentine","ARG","Argentina",0.050023685592057,0.000111262645889807,0.0449501089394818,0.993397493293046,44938712,58.96151,12712.9707379001,1200,120,-0.0914442,0,11072.25,0
"Arménie","ARM","Armenia",0.00405716820478421,0.0145381860671434,0.018257256921529,0.202624027586126,2957728,74.49401,4350.46619774208,0,100,-0.4134244,0,3434.071,0
"Antigua-et-Barbuda","ATG","Antigua and Barbuda",0,0.0720794933841322,0.0617824229006848,0.861445783881833,97115,60.28342,16786.4474314205,546.3889,100,0.9535552,0,6708.77,0
"Australie","AUS","Australia",0.0503829081306305,0.000354809212187539,0.049003094527679,1.52165367749095,25365745,81.21506,58781.0466570626,539,100,0.9117457,0,16975.46,0
"Autriche","AUT","Austria",0.0148649987837728,0.0127253398679267,0.0179055667168173,0.444673639004876,8879920,78.74549,46669.7512148406,0,0,0.9167479,0,1035.144,1
"Azerbaïdjan","AZE","Azerbaijan",0.0111728689223957,0.00389055257119138,0.0145646327024087,0.846646726414021,10024283,78.50823,5348.26526020775,300,200,-0.6859124,0,3817.547,0
"Burundi","BDI","Burundi",0.000607081501645581,0,0.000433629644032558,3.1289321480628,11530577,46.77393,278.319371296908,443.5714,1025,-1.615159,1,6371.986,0
"Belgique et Luxembourg","BEL","Belgium",0.0389938880562069,0.0278527771830049,0.0126207896610491,0.540461327098122,11488980,74.98904,43071.1065797501,0,0,0.4737775,1,262.3845,1
"Bénin","BEN","Benin",0.00127106245822971,0.00991428717419174,0.010253237163053,2.71521854979345,11801151,52.40404,1201.56138386125,599.1111,110,-0.412668,1,4726.537,0
"Burkina Faso","BFA","Burkina Faso",0.0021652069645063,0,0.0021652069645063,2.8445964977375,20321383,51.40019,738.21890116854,264.5,196.5,-1.302387,1,4082.87,0
"Bangladesh","BGD","Bangladesh",0.00159464031087685,0,0.00159464031087685,1.02919664944804,163046173,45.04865,1603.95364590189,900,370,-0.9329753,0,7916.79,0
"Bulgarie","BGR","Bulgaria",0.015625535335858,0.0159122424062407,0.0227932120954259,-0.703905641117455,6975761,71.97405,8234.78133356177,0,0,0.578861,0,1760.707,1
"Bahamas","BHS","Bahamas",0.0154049182769085,0.0641871594871189,0.0539172139691799,0.993659489537656,389486,59.87155,32136.7623077088,1385,550,0.8162377,0,7209.45,0
"Bosnie-Herzégovine","BIH","Bosnia and Herzegovina",0.0212057080919164,0.00333232555730116,0.0169645664735332,-0.692266996375143,3300998,65.44253,5578.26631405929,108.5,26.5,-0.4187543,0,1352.463,0
"Biélorussie","BLR","Belarus",0.049576645174961,0.00106159839775077,0.0286631567392708,-0.201786600970723,9419758,74.29113,6264.86096486176,0,0,0.3323891,0,1823.709,0
"Belize","BLZ","Belize",0.0537977358838584,0,0.0281797664153544,1.88259837762914,390351,55.47444,4701.0433064517,687.5,75,0.0630389,0,8664.439,0
"Bolivie","BOL","Bolivia (Plurinational State of)",0.042907636881876,0.000173715129076421,0.0430813520109524,1.39913335536684,11513102,51.65574,3317.37094465712,315,30,-0.7300857,0,10038.45,0
"Brésil","BRA","Brazil",0.0669842796467117,2.36911224611699e-05,0.0469368518200698,0.751550842096973,211049519,59.08307,8638.28290678523,375,106.9444,-0.7137882,0,9408.406,0
"Barbade","BRB","Barbados",0.0557450500137621,0.00696813125172026,0.0487769187620418,0.132831081778268,287021,57.90615,16800.2099977087,1776,150,1.049227,0,6882.34,0
"Botswana","BWA","Botswana",0.000868167467768198,0.00217041866942049,0.00303858613718869,2.1781688165261,2303703,66.1978,7027.04535665129,98.07692,66.61538,1.111055,0,8522.764,0
"Centrafricaine (la République)","CAF","Central African Republic",0.00147518144204887,0.00126444123604189,0.00273962267809075,1.67466162763351,4745179,35.56585,418.31555179171,709.2857,500,-2.138272,1,5186.042,0
"Canada","CAN","Canada",0.0399986915321653,0.00476048256932021,0.0408763223969003,1.43613682316886,37601230,79.64043,45109.2444855151,171.875,162.5,1.016768,1,6004.645,0
"Suisse","CHE","Switzerland",0.0115448125309028,0.00524764205950126,0.0173755259303486,0.713313668444329,8575280,76.61864,88413.1917082485,115,27,1.324953,1,436.0778,0
"Chili","CHL","Chile",0.0405761175514925,0.00722877516847135,0.0358800519310987,1.18293256569455,18952035,72.58023,13866.9558433623,290,50,0.0079297,0,11663.39,0
"Chine","CHN","China",0.0150559938056963,0.00128858564583785,0.0154253788860909,0.354740890170827,1407745000,77.28424,10155.4175557258,241.25,77.25,-0.2566892,0,8225.232,0
"Côte d'Ivoire","CIV","C?te d'Ivoire",0.00206092931424638,3.88854587593657e-05,0.00209981477300575,2.54938709160815,25716554,60.68796,2327.74536365567,455.7143,266.6667,-1.026046,1,4884.159,0
"Cameroun","CMR","Cameroon",0.00324620280257827,7.72905429185303e-05,0.00328484807403754,2.58417898206639,25876387,46.09974,1449.27754809853,1406.875,849,-1.559217,1,5085.718,0
"Congo, Rép. dém. du","COD","Democratic Republic of the Congo",0.000115219893479669,0.0014978586152357,0.00161307850871537,3.18708626507603,86790568,36.20973,512.586319368358,3039,765,-1.593899,1,6049.656,0
"Congo","COG","Congo",0.00130099336419042,0.019886612852625,0.021001750021931,2.56282646096789,5380504,39.53359,1792.30716672489,1580.556,310,-0.8969635,1,6041.018,0
"Colombie","COL","Colombia",0.0336316792380877,0.00228449091103372,0.0359161701491214,1.35678804331132,50339443,70.05964,6390.36805709656,545,50,-0.9495016,0,8707.677,0
"Comores","COM","Comoros",0.0011752386615912,0,0.00587619330795601,2.20646505841421,850891,47.87291,1284.28651891376,765.3955,92.8,-0.1546992,1,7842.67,0
"Cap-Vert","CPV","Cabo Verde",0.0018183934130517,0.0236391143696721,0.018183934130517,1.12865786215008,549936,55.03925,3482.44847194741,587.5,125,0.8739426,0,4452.386,0
"Costa Rica","CRI","Costa Rica",0.0287267454519123,0.00297173228812886,0.0271418215649103,0.957865009385917,5047561,69.2383,12735.0928178822,500,75,0.4522929,0,8919.449,0
"Chypre","CYP","Cyprus",0.0225267693108644,0.0125148718393691,0.0258640684680295,0.779957016025289,1198574,73.35105,20758.672295704,335,50,0.5573699,0,2954.551,1
"Tchèque (la République)","CZE","Czechia",0.0159297292789361,0.010869697625627,0.0228638467297671,0.393788864202175,10671870,76.34054,20202.1515915067,0,0,0.9438875,0,884.6105,1
"Allemagne","DEU","Germany",0.0185815978012675,0.0100008470031433,0.0181002092571932,0.22551987421288,83092962,79.71004,43329.0506893066,0,0,0.5743086,0,439.8984,1
"Djibouti","DJI","Djibouti",0,0.00308148367275876,0.00308148367275876,1.51455950269865,973557,60.49674,3278.52736150719,1055,100,-0.3511495,1,5595.459,0
"Dominique","DMA","Dominica",0,0.0557040998217469,0.0417780748663102,0.253775391715059,71808,60.54797,7914.1358602744,905.5556,50,1.067457,1,6826.396,0
"Danemark","DNK","Denmark",0.0271738102256768,0.0244220319749753,0.0251099765376507,0.358130915892652,5814422,85.28856,57553.1312399488,0,0,0.9956252,0,1027.609,1
"Dominicaine (la République)","DOM","Dominican Republic",0.0330572140292581,0.00502842128895758,0.0376200407544234,1.04662057856427,10738957,59.98867,8314.34481886082,579.1667,40,0.0053069,0,7178.52,0
"Algérie","DZA","Algeria",0.00675910238562867,0,0.00666619376177123,1.93398334424168,43053054,48.59758,4115.39553969777,408.7778,399.7778,-1.044343,1,1340.39,0
"Equateur","ECU","Ecuador",0.017958222612545,0,0.0180157810183544,1.67917269268893,17373657,57.7227,5853.81305991847,250,75,-0.2329569,0,9367.098,0
"Egypte","EGY","Egypt",0.0143742171131958,0.000358608327148336,0.0148424002069728,1.97628022437557,100388076,60.05364,3964.98712900344,553.6667,1000,-1.114192,0,3215.215,0
"Espagne","ESP","Spain",0.0346028564817144,0.00398855733817431,0.0330541081535935,0.717715637103499,47134837,77.93588,28101.5270745864,0,0,0.3106858,0,1054.656,1
"Estonie","EST","Estonia",0.0150732370907145,0.0188415463633931,0.021856193781536,0.368313695574019,1326855,80.61685,20408.4362440973,0,0,0.6332563,0,1859.091,1
"Ethiopie","ETH","Ethiopia",0.000687017082197945,8.92229976880448e-06,0.000695939381966749,2.57969708764895,112078727,47.97613,799.795134257737,120,750,-1.305073,0,5582.502,0
"Finlande","FIN","Finland",0.0251738352935722,0.0030788143884225,0.0199217401603809,0.110191690491055,5521606,80.17834,46135.0776632627,0,0,0.8516567,0,1911.138,1
"Fidji","FJI","Fiji",0.0393278311824755,0.0056182615974965,0.0415751358214741,0.729092657357544,889955,61.47892,5869.02114377193,319.8333,57.5,0.7776704,0,16595.08,0
"Gabon","GAB","Gabon",0.00184113067517024,0.0331403521530642,0.0349814828282345,2.48404317871067,2172578,45.0251,7116.08126788807,1320,170,-0.0742617,1,5438.787,0
"Royaume-Uni","GBR","United Kingdom of Great Britain and Northern Ireland",0.0284575781670348,0.0119396148145604,0.0334847844047444,0.564131113399897,66836327,83.54968,47750.8796619598,0,0,0.5397319,0,342.9475,0
"Géorgie","GEO","Georgia",0.00591372255125517,0.0145155008076263,0.0182787787947887,-0.171565740223868,3720161,83.73393,4773.42330884899,396.4286,189,-0.4883826,0,3373.349,0
"Ghana","GHA","Ghana",0.00216977802973503,0.00502993997802212,0.00719971800775715,2.16258446185622,30417858,59.96017,2053.58673106375,552.8571,474,0.1344119,0,4827.292,0
"Guinée","GIN","Guinea",0.000861309851834347,0.00313203582485217,0.00274053134674565,2.83478481749442,12771246,49.42922,945.769348735727,808.5714,180,-0.8432462,1,4691.556,0
"Gambie","GMB","Gambia",0.000851899053369772,0.0106487381671221,0.011074687693807,2.92186286632026,2347696,50.29381,714.081829944294,325.625,151.875,0.2247214,0,4308.25,0
