"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Afghanistan","AFG","Afghanistan",28,44,67,2.31307334941778,38041757,44.06497,21118462796.7609,750,900,-2.655531,0,5590.381,0
"Angola","AGO","Angola",49,278,327,3.24291402840967,31825299,41.28838,110072586683.261,1030,460,-0.358525,0,6510.322,0
"Albanie","ALB","Albania",12,22,34,-0.426007367032238,2854191,67.74847,12970913827.5704,77.3,10,0.1111686,0,1603.534,0
"Emirats arabes unis","ARE","United Arab Emirates",45,686,333,1.43867705802644,9770526,80.75261,395103837869.753,553.3333,283.3333,0.6856085,0,5249.535,0
"Argentine","ARG","Argentina",2248,5,2020,0.993397493293046,44938712,58.96151,571304530654.919,1200,120,-0.0914442,0,11072.25,0
"Arménie","ARM","Armenia",12,43,54,0.202624027586126,2957728,74.49401,12867495686.1153,0,100,-0.4134244,0,3434.071,0
"Antigua-et-Barbuda","ATG","Antigua and Barbuda",0,7,6,0.861445783881833,97115,60.28342,1630215842.3024,546.3889,100,0.9535552,0,6708.77,0
"Australie","AUS","Australia",1278,9,1243,1.52165367749095,25365745,81.21506,1491025040336.15,539,100,0.9117457,0,16975.46,0
"Autriche","AUT","Austria",132,113,159,0.444673639004876,8879920,78.74549,414423657207.687,0,0,0.9167479,0,1035.144,1
"Azerbaïdjan","AZE","Azerbaijan",112,39,146,0.846646726414021,10024283,78.50823,53612524527.3911,300,200,-0.6859124,0,3817.547,0
"Burundi","BDI","Burundi",7,0,5,3.1289321480628,11530577,46.77393,3209182941.33059,443.5714,1025,-1.615159,1,6371.986,0
"Belgique et Luxembourg","BEL","Belgium",448,320,145,0.540461327098122,11488980,74.98904,494843082072.617,0,0,0.4737775,1,262.3845,1
"Bénin","BEN","Benin",15,117,121,2.71521854979345,11801151,52.40404,14179807326.7156,599.1111,110,-0.412668,1,4726.537,0
"Burkina Faso","BFA","Burkina Faso",44,0,44,2.8445964977375,20321383,51.40019,15001629028.4851,264.5,196.5,-1.302387,1,4082.87,0
"Bangladesh","BGD","Bangladesh",260,0,260,1.02919664944804,163046173,45.04865,261518503633.701,900,370,-0.9329753,0,7916.79,0
"Bulgarie","BGR","Bulgaria",109,111,159,-0.703905641117455,6975761,71.97405,57443866470.1882,0,0,0.578861,0,1760.707,1
"Bahamas","BHS","Bahamas",6,25,21,0.993659489537656,389486,59.87155,12516819004.1803,1385,550,0.8162377,0,7209.45,0
"Bosnie-Herzégovine","BIH","Bosnia and Herzegovina",70,11,56,-0.692266996375143,3300998,65.44253,18413845946.1771,108.5,26.5,-0.4187543,0,1352.463,0
"Biélorussie","BLR","Belarus",467,10,270,-0.201786600970723,9419758,74.29113,59013474192.6442,0,0,0.3323891,0,1823.709,0
"Belize","BLZ","Belize",21,0,11,1.88259837762914,390351,55.47444,1835056955.71673,687.5,75,0.0630389,0,8664.439,0
"Bolivie","BOL","Bolivia (Plurinational State of)",494,2,496,1.39913335536684,11513102,51.65574,38193230057.6737,315,30,-0.7300857,0,10038.45,0
"Brésil","BRA","Brazil",14137,5,9906,0.751550842096973,211049519,59.08307,1823105452462.95,375,106.9444,-0.7137882,0,9408.406,0
"Barbade","BRB","Barbados",16,2,14,0.132831081778268,287021,57.90615,4822013073.75235,1776,150,1.049227,0,6882.34,0
"Botswana","BWA","Botswana",2,5,7,2.1781688165261,2303703,66.1978,16188225469.2536,98.07692,66.61538,1.111055,0,8522.764,0
"Centrafricaine (la République)","CAF","Central African Republic",7,6,13,1.67466162763351,4745179,35.56585,1984982171.73544,709.2857,500,-2.138272,1,5186.042,0
"Canada","CAN","Canada",1504,179,1537,1.43613682316886,37601230,79.64043,1696163077026.08,171.875,162.5,1.016768,1,6004.645,0
"Suisse","CHE","Switzerland",99,45,149,0.713313668444329,8575280,76.61864,758167874591.909,115,27,1.324953,1,436.0778,0
"Chili","CHL","Chile",769,137,680,1.18293256569455,18952035,72.58023,262807032486.856,290,50,0.0079297,0,11663.39,0
"Chine","CHN","China",21195,1814,21715,0.354740890170827,1407745000,77.28424,14296238286985.1,241.25,77.25,-0.2566892,0,8225.232,0
"Côte d'Ivoire","CIV","C?te d'Ivoire",53,1,54,2.54938709160815,25716554,60.68796,59861589342.7008,455.7143,266.6667,-1.026046,1,4884.159,0
"Cameroun","CMR","Cameroon",84,2,85,2.58417898206639,25876387,46.09974,37502066705.0088,1406.875,849,-1.559217,1,5085.718,0
"Congo, Rép. dém. du","COD","Democratic Republic of the Congo",10,130,140,3.18708626507603,86790568,36.20973,44487657807.0092,3039,765,-1.593899,1,6049.656,0
"Congo","COG","Congo",7,107,113,2.56282646096789,5380504,39.53359,9643515879.79193,1580.556,310,-0.8969635,1,6041.018,0
"Colombie","COL","Colombia",1693,115,1808,1.35678804331132,50339443,70.05964,321687568559.233,545,50,-0.9495016,0,8707.677,0
"Comores","COM","Comoros",1,0,5,2.20646505841421,850891,47.87291,1092787840.36505,765.3955,92.8,-0.1546992,1,7842.67,0
"Cap-Vert","CPV","Cabo Verde",1,13,10,1.12865786215008,549936,55.03925,1915123782.86887,587.5,125,0.8739426,0,4452.386,0
"Costa Rica","CRI","Costa Rica",145,15,137,0.957865009385917,5047561,69.2383,64281157838.9224,500,75,0.4522929,0,8919.449,0
"Chypre","CYP","Cyprus",27,15,31,0.779957016025289,1198574,73.35105,24880804888.1512,335,50,0.5573699,0,2954.551,1
"Tchèque (la République)","CZE","Czechia",170,116,244,0.393788864202175,10671870,76.34054,215594735504.853,0,0,0.9438875,0,884.6105,1
"Allemagne","DEU","Germany",1544,831,1504,0.22551987421288,83092962,79.71004,3600339162422.63,0,0,0.5743086,0,439.8984,1
"Djibouti","DJI","Djibouti",0,3,3,1.51455950269865,973557,60.49674,3191833262.48686,1055,100,-0.3511495,1,5595.459,0
"Dominique","DMA","Dominica",0,4,3,0.253775391715059,71808,60.54797,568298267.854584,905.5556,50,1.067457,1,6826.396,0
"Danemark","DNK","Denmark",158,142,146,0.358130915892652,5814422,85.28856,334638192450.446,0,0,0.9956252,0,1027.609,1
"Dominicaine (la République)","DOM","Dominican Republic",355,54,404,1.04662057856427,10738957,59.98867,89287391492.9192,579.1667,40,0.0053069,0,7178.52,0
"Algérie","DZA","Algeria",291,0,287,1.93398334424168,43053054,48.59758,177180346401.967,408.7778,399.7778,-1.044343,1,1340.39,0
"Equateur","ECU","Ecuador",312,0,313,1.67917269268893,17373657,57.7227,101702140245.144,250,75,-0.2329569,0,9367.098,0
"Egypte","EGY","Egypt",1443,36,1490,1.97628022437557,100388076,60.05364,398037429245.42,553.6667,1000,-1.114192,0,3215.215,0
"Espagne","ESP","Spain",1631,188,1558,0.717715637103499,47134837,77.93588,1324560898111.72,0,0,0.3106858,0,1054.656,1
"Estonie","EST","Estonia",20,25,29,0.368313695574019,1326855,80.61685,27079035672.6617,0,0,0.6332563,0,1859.091,1
"Ethiopie","ETH","Ethiopia",77,1,78,2.57969708764895,112078727,47.97613,89640020508.4013,120,750,-1.305073,0,5582.502,0
"Finlande","FIN","Finland",139,17,110,0.110191690491055,5521606,80.17834,254739721635.937,0,0,0.8516567,0,1911.138,1
"Fidji","FJI","Fiji",35,5,37,0.729092657357544,889955,61.47892,5223164712.00555,319.8333,57.5,0.7776704,0,16595.08,0
"Gabon","GAB","Gabon",4,72,76,2.48404317871067,2172578,45.0251,15460241608.8257,1320,170,-0.0742617,1,5438.787,0
"Royaume-Uni","GBR","United Kingdom of Great Britain and Northern Ireland",1902,798,2238,0.564131113399897,66836327,83.54968,3191493407624.4,0,0,0.5397319,0,342.9475,0
"Géorgie","GEO","Georgia",22,54,68,-0.171565740223868,3720161,83.73393,17757903230.0709,396.4286,189,-0.4883826,0,3373.349,0
"Ghana","GHA","Ghana",66,153,219,2.16258446185622,30417858,59.96017,62465709576.1815,552.8571,474,0.1344119,0,4827.292,0
"Guinée","GIN","Guinea",11,40,35,2.83478481749442,12771246,49.42922,12078653011.9638,808.5714,180,-0.8432462,1,4691.556,0
"Gambie","GMB","Gambia",2,25,26,2.92186286632026,2347696,50.29381,1676447055.8329,325.625,151.875,0.2247214,0,4308.25,0
"Guinée-Bissau","GNB","Guinea-Bissau",3,3,5,2.45652856791883,1920917,43.23319,1248729327.89726,550,205,-0.5580111,0,4440.633,0
"Grèce","GRC","Greece",230,79,268,-0.105339392724138,10721582,68.42391,203751111442.283,0,0,0.1817382,0,2098.726,0
"Grenade","GRD","Grenada",0,7,5,0.494964112035921,112002,53.44488,1134931073.15504,1256,50,0.9535552,0,7120.287,0
